goos: linux
goarch: amd64
pkg: gol-wildfire/internal/bench
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSnapshotSerie/format=packed/cache=0-24         	     321	   3837396 ns/op	         0 %evites	       201.0 snapshots/op	   14623 B/op	     604 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=0-24         	     308	   3749072 ns/op	         0 %evites	       201.0 snapshots/op	   14626 B/op	     604 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=0-24         	     312	   3819428 ns/op	         0 %evites	       201.0 snapshots/op	   14546 B/op	     604 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=0-24         	     300	   3828670 ns/op	         0 %evites	       201.0 snapshots/op	   14629 B/op	     604 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=0-24         	     309	   3873265 ns/op	         0 %evites	       201.0 snapshots/op	   14626 B/op	     604 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=0-24         	     303	   3704251 ns/op	         0 %evites	       201.0 snapshots/op	   14547 B/op	     604 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=1-24         	     129	   9760549 ns/op	         0 %evites	       201.0 snapshots/op	   14762 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=1-24         	     124	   9610209 ns/op	         0 %evites	       201.0 snapshots/op	   14969 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=1-24         	     124	   9789977 ns/op	         0 %evites	       201.0 snapshots/op	   14769 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=1-24         	     126	   9425871 ns/op	         0 %evites	       201.0 snapshots/op	   14570 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=1-24         	     127	   9777136 ns/op	         0 %evites	       201.0 snapshots/op	   14764 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=1-24         	     121	   9603843 ns/op	         0 %evites	       201.0 snapshots/op	   14775 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=8-24         	     127	   9471928 ns/op	         0 %evites	       201.0 snapshots/op	   15015 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=8-24         	     127	   9385364 ns/op	         0 %evites	       201.0 snapshots/op	   14820 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=8-24         	     127	   9493422 ns/op	         0 %evites	       201.0 snapshots/op	   14821 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=8-24         	     126	   9452381 ns/op	         0 %evites	       201.0 snapshots/op	   14626 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=8-24         	     126	   9217038 ns/op	         0 %evites	       201.0 snapshots/op	   14821 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=8-24         	     128	   9262773 ns/op	         0 %evites	       201.0 snapshots/op	   14818 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=12-24        	     184	   6580267 ns/op	        72.64 %evites	       201.0 snapshots/op	    4271 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=12-24        	     182	   6492629 ns/op	        72.64 %evites	       201.0 snapshots/op	    4273 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=12-24        	     182	   6651187 ns/op	        72.64 %evites	       201.0 snapshots/op	    4273 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=12-24        	     182	   6696027 ns/op	        72.64 %evites	       201.0 snapshots/op	    4274 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=12-24        	     176	   6631748 ns/op	        72.64 %evites	       201.0 snapshots/op	    4279 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=12-24        	     182	   6544413 ns/op	        72.64 %evites	       201.0 snapshots/op	    4273 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-24        	     178	   6571872 ns/op	        72.64 %evites	       201.0 snapshots/op	    4309 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-24        	     181	   6496646 ns/op	        72.64 %evites	       201.0 snapshots/op	    4170 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-24        	     183	   6568831 ns/op	        72.64 %evites	       201.0 snapshots/op	    4170 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-24        	     180	   6652949 ns/op	        72.64 %evites	       201.0 snapshots/op	    4307 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-24        	     181	   6505830 ns/op	        72.64 %evites	       201.0 snapshots/op	    4306 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-24        	     186	   6535369 ns/op	        72.64 %evites	       201.0 snapshots/op	    4302 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=32-24        	     183	   6581285 ns/op	        72.64 %evites	       201.0 snapshots/op	    4432 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=32-24        	     178	   6538400 ns/op	        72.64 %evites	       201.0 snapshots/op	    4299 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=32-24        	     177	   6714469 ns/op	        72.64 %evites	       201.0 snapshots/op	    4299 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=32-24        	     180	   6680755 ns/op	        72.64 %evites	       201.0 snapshots/op	    4298 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=32-24        	     182	   6651061 ns/op	        72.64 %evites	       201.0 snapshots/op	    4433 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=32-24        	     182	   6628308 ns/op	        72.64 %evites	       201.0 snapshots/op	    4433 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=0-24          	      39	  31456822 ns/op	         0 %evites	       201.0 snapshots/op	   62394 B/op	    1207 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=0-24          	      36	  31847236 ns/op	         0 %evites	       201.0 snapshots/op	   62898 B/op	    1207 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=0-24          	      37	  32101907 ns/op	         0 %evites	       201.0 snapshots/op	   62721 B/op	    1207 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=0-24          	      36	  32322130 ns/op	         0 %evites	       201.0 snapshots/op	   62898 B/op	    1207 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=0-24          	      38	  32326051 ns/op	         0 %evites	       201.0 snapshots/op	   62553 B/op	    1207 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=0-24          	      38	  31419000 ns/op	         0 %evites	       201.0 snapshots/op	   62553 B/op	    1207 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-24          	      32	  37456956 ns/op	         0 %evites	       201.0 snapshots/op	   63726 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-24          	      31	  38060754 ns/op	         0 %evites	       201.0 snapshots/op	   63964 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-24          	      32	  36768452 ns/op	         0 %evites	       201.0 snapshots/op	   63731 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-24          	      31	  36544915 ns/op	         0 %evites	       201.0 snapshots/op	   63964 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-24          	      31	  38001779 ns/op	         0 %evites	       201.0 snapshots/op	   63970 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-24          	      33	  37240226 ns/op	         0 %evites	       201.0 snapshots/op	   63503 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=8-24          	      32	  37808307 ns/op	         0 %evites	       201.0 snapshots/op	   63782 B/op	    1208 allocs/op
