goos: darwin
goarch: arm64
pkg: gol-wildfire/internal/bench
cpu: Apple M1
BenchmarkSnapshotEmpreinte/size=128-8         	   28130	     41010 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   29174	     41055 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   28988	     41040 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   29163	     42150 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   28830	     41546 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   28894	     41244 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   29035	     41230 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   29143	     41359 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   29134	     42177 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   27480	     41199 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     451	   2637514 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     452	   2638494 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     453	   2638767 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     453	   2640756 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     452	   2643765 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     452	   2644252 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     451	   2646190 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     452	   2641477 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     452	   2639341 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     452	   2639517 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=0-8         	     181	   6639358 ns/op	         0 %evites	       201.0 snapshots/op	   14679 B/op	     604 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=0-8         	     180	   6641987 ns/op	         0 %evites	       201.0 snapshots/op	   14679 B/op	     604 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=0-8         	     180	   6631148 ns/op	         0 %evites	       201.0 snapshots/op	   14679 B/op	     604 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=0-8         	     172	   6664938 ns/op	         0 %evites	       201.0 snapshots/op	   14686 B/op	     604 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=0-8         	     180	   6666086 ns/op	         0 %evites	       201.0 snapshots/op	   14679 B/op	     604 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=0-8         	     181	   6652514 ns/op	         0 %evites	       201.0 snapshots/op	   14679 B/op	     604 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=0-8         	     178	   6684102 ns/op	         0 %evites	       201.0 snapshots/op	   14681 B/op	     604 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=0-8         	     180	   6866394 ns/op	         0 %evites	       201.0 snapshots/op	   14679 B/op	     604 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=0-8         	     180	   6677961 ns/op	         0 %evites	       201.0 snapshots/op	   14679 B/op	     604 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=0-8         	     178	   6675611 ns/op	         0 %evites	       201.0 snapshots/op	   14543 B/op	     604 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=1-8         	      78	  14900205 ns/op	         0 %evites	       201.0 snapshots/op	   14563 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=1-8         	      79	  15198843 ns/op	         0 %evites	       201.0 snapshots/op	   15185 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=1-8         	      79	  14906811 ns/op	         0 %evites	       201.0 snapshots/op	   14561 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=1-8         	      79	  14897207 ns/op	         0 %evites	       201.0 snapshots/op	   14872 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=1-8         	      79	  14879549 ns/op	         0 %evites	       201.0 snapshots/op	   14872 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=1-8         	      79	  14912373 ns/op	         0 %evites	       201.0 snapshots/op	   14561 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=1-8         	      78	  14902588 ns/op	         0 %evites	       201.0 snapshots/op	   14561 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=1-8         	      79	  14902079 ns/op	         0 %evites	       201.0 snapshots/op	   14872 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=1-8         	      78	  14900977 ns/op	         0 %evites	       201.0 snapshots/op	   14876 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=1-8         	      78	  14892855 ns/op	         0 %evites	       201.0 snapshots/op	   14876 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=8-8         	      79	  14914941 ns/op	         0 %evites	       201.0 snapshots/op	   14928 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=8-8         	      78	  14897650 ns/op	         0 %evites	       201.0 snapshots/op	   14932 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=8-8         	      78	  14900822 ns/op	         0 %evites	       201.0 snapshots/op	   14934 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=8-8         	      79	  14895373 ns/op	         0 %evites	       201.0 snapshots/op	   14928 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=8-8         	      78	  14911580 ns/op	         0 %evites	       201.0 snapshots/op	   14932 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=8-8         	      79	  14897187 ns/op	         0 %evites	       201.0 snapshots/op	   14928 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=8-8         	      79	  14899257 ns/op	         0 %evites	       201.0 snapshots/op	   14928 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=8-8         	      78	  14877673 ns/op	         0 %evites	       201.0 snapshots/op	   14617 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=8-8         	      76	  14925607 ns/op	         0 %evites	       201.0 snapshots/op	   14940 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=8-8         	      79	  14896739 ns/op	         0 %evites	       201.0 snapshots/op	   14616 B/op	     605 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=12-8        	     100	  10110144 ns/op	        72.64 %evites	       201.0 snapshots/op	    4379 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=12-8        	     100	  10105318 ns/op	        72.64 %evites	       201.0 snapshots/op	    4379 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=12-8        	     100	  10112348 ns/op	        72.64 %evites	       201.0 snapshots/op	    4379 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=12-8        	     100	  10104356 ns/op	        72.64 %evites	       201.0 snapshots/op	    4133 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=12-8        	     100	  10102323 ns/op	        72.64 %evites	       201.0 snapshots/op	    4133 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=12-8        	     100	  10108318 ns/op	        72.64 %evites	       201.0 snapshots/op	    4379 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=12-8        	     100	  10104305 ns/op	        72.64 %evites	       201.0 snapshots/op	    4379 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=12-8        	     100	  10110654 ns/op	        72.64 %evites	       201.0 snapshots/op	    4379 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=12-8        	     100	  10103581 ns/op	        72.64 %evites	       201.0 snapshots/op	    4379 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=12-8        	     100	  10103905 ns/op	        72.64 %evites	       201.0 snapshots/op	    4379 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-8        	     100	  10108575 ns/op	        72.64 %evites	       201.0 snapshots/op	    4411 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-8        	     100	  10109261 ns/op	        72.64 %evites	       201.0 snapshots/op	    4165 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-8        	     100	  10104449 ns/op	        72.64 %evites	       201.0 snapshots/op	    4411 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-8        	     100	  10107735 ns/op	        72.64 %evites	       201.0 snapshots/op	    4165 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-8        	     100	  10114292 ns/op	        72.64 %evites	       201.0 snapshots/op	    4165 B/op	     167 allocs/op
BenchmarkSnapshotSerie/format=packed/cache=16-8        	     100	  10104464 ns/op	        72.64 %evites	       201.0 snapshots/op	    4165 B/op	     167 allocs/op
